name;total;ratio;wins;loses;games;
Амбал;0.831473214285714;0.734375;47;17;64;
Прас;0.823170731707317;0.646341463414634;53;29;82;
Гоша;0.697802197802198;0.538461538461538;35;30;65;
Стёпа;0.678571428571429;0.714285714285714;25;10;35;
Битёк;0.677339901477833;0.568965517241379;33;25;58;
Нечипур;0.55952380952381;0.833333333333333;5;1;6;
Спаич;0.535714285714286;0.357142857142857;30;54;84;
Тёма;0.485714285714286;0.4;18;27;45;
Казаков;0.435185185185185;0.37037037037037;10;17;27;
Браток;0.390756302521008;0.352941176470588;6;11;17;
Баранов;0.350649350649351;0.272727272727273;6;16;22;
Алёхин;0.187142857142857;0.16;4;21;25;
Демидов;0.0714285714285715;0.0;0;3;3;
Королёв;0.0714285714285715;0.0;0;11;11;
